state,model,rmse,mae,mape,smape
Massachusetts,lstm,19252710.072377108,17413243.075300973,9.852066221130332,10.482692715425788
Michigan,sarima,4805259.3860940235,3387236.342034922,1.197900507782559,1.19495981100078
Michigan,ets,4339316.962371192,2694160.775118794,0.9479570218393591,0.9502506017743186
Michigan,xgboost,4148398.8480869145,1088241.0039125192,0.3702989628077045,0.3793611890995968
Michigan,lstm,16392056.614742523,14505622.097451836,5.148336286086322,5.321622335289618
Minnesota,sarima,2816737.276164843,2357675.3754736995,1.5545803074748903,1.5391129238456245
Minnesota,ets,1861515.8985297815,1499739.2755488413,0.9856301651259157,0.9819327608552204
Minnesota,xgboost,1399466.0204039055,537208.943117981,0.3473087163725233,0.35100780907312124
Minnesota,lstm,33429851.780075736,30169108.585172538,19.872400563673313,17.723766792420122
Mississippi,sarima,2931386.8159184535,2433592.485935,2.0537975628301663,2.0311892247311216
Mississippi,ets,1755426.9311771793,262197.01281716087,0.20423169665209537,0.21386641442848559
Mississippi,xgboost,1733024.250067119,532908.6362560184,0.43327506672098715,0.44182527337654687
Mississippi,lstm,9864113.984864132,8826614.289225522,7.43991867957237,7.801841155944327
Missouri,sarima,5682832.209786228,4770451.0286326865,2.5436526394828305,2.4994658164789496
Missouri,ets,2211483.799067125,1336888.340620764,0.7049275350078624,0.7068069049937086
Missouri,xgboost,2559547.561848335,1374337.668840287,0.7204656374473506,0.7290472981476992
Missouri,lstm,9704890.893466199,8895551.582644459,4.7103962406478805,4.846296805476142
Nebraska,sarima,2463789.632505333,2089790.4466688936,3.4525298835477627,3.3710946131715374
Nebraska,ets,560454.505585916,383698.03337230824,0.6297841659464323,0.6300062413742699
Nebraska,xgboost,851378.6867219192,618441.7010634022,1.0111186086285904,1.020785134694046
Nebraska,lstm,3501434.3157195235,3135074.7143057776,5.156379058128295,5.329152963956999
Nevada,sarima,2415263.681185476,1936867.0488372426,1.9657329804540848,1.9463957466748938
Nevada,ets,1599040.9574672899,266817.5194049837,0.25083240312026067,0.2622405636663286
Nevada,xgboost,1723551.5254217226,716154.9672752871,0.7040051357970716,0.713757679082665
Nevada,lstm,6915463.301784862,6215098.477508032,6.340743743251018,6.100843814954023
New Hampshire,sarima,1091725.4290716927,880605.4470539183,1.6240563765369591,1.610152784405149
New Hampshire,ets,850300.0707976548,632050.689509562,1.1603108356063252,1.1575804990459495
New Hampshire,xgboost,765236.3545726921,300589.03350722033,0.5416791151364008,0.5506816050193452
New Hampshire,lstm,5645862.771477497,5141399.273434986,9.47753999511801,10.054193966287313
New Mexico,sarima,2167070.4771158383,1776474.9279544826,2.5568020883880376,2.520679706321074
New Mexico,ets,1292062.709507371,557018.6671300373,0.7803890597684822,0.7909389032677674
New Mexico,xgboost,1344026.1418093627,366643.3559390054,0.4996796166054492,0.5155440375889561
New Mexico,lstm,2597422.3270061705,2108564.896589088,3.0057655805144052,3.0729411247745
New York,sarima,8970890.987550912,7105226.049871916,1.6783639763570752,1.6654666259493824
New York,ets,7254235.856186514,5147297.814225567,1.2094596542219909,1.2080298012387447
New York,xgboost,6592091.14225983,3076005.933126006,0.7106888758984259,0.7213286159684444
New York,lstm,44432834.197024345,39832027.02642454,9.455817164075036,8.93060605909488
North Carolina,sarima,10669664.662902238,8615470.059240153,2.5392380625254467,2.5056417806612155
North Carolina,ets,6881988.728366638,1137490.370147888,0.3050068053471285,0.3222921607086975
North Carolina,xgboost,7173242.928205367,2000220.676243979,0.5567164701288386,0.5752506291797345
North Carolina,lstm,51435311.42215576,47030251.961195834,13.847013829729063,15.104380930065751
Ohio,sarima,8848599.003986957,7025085.477591475,1.961232805113324,1.942608329674574
Ohio,ets,6361941.315780759,3823551.3566772384,1.0549273938071686,1.0588022143269311
Ohio,xgboost,6205835.484351205,2029413.763021679,0.5456023703593125,0.5575991289842561
Ohio,lstm,33021634.974204134,30116346.51073434,8.402639288412846,8.848547346194131
Oklahoma,sarima,4184409.8207885777,3536219.38623622,2.4967375071325124,2.455292992495566
Oklahoma,ets,1620523.285817675,732669.9401490705,0.5083873238713135,0.5124894851460755
Oklahoma,xgboost,1829477.940353825,901593.4513041627,0.6222859803686405,0.6300260552817291
Oklahoma,lstm,16332692.87141433,14795338.998294553,10.425941860959307,9.802059769608892
Oregon,sarima,3369252.8193509365,2834647.3564167903,2.557933370548235,2.5129890836811306
Oregon,ets,1138522.129856396,226715.26886771168,0.1967473470130151,0.20155677201657834
Oregon,xgboost,1173917.3042158375,711626.5638844313,0.6348642463552583,0.636195197595186
Oregon,lstm,5240870.886690537,4684390.728972713,4.2203651437824945,4.1111550498028375
Pennsylvania,sarima,7313405.86276494,5783780.509680502,1.6473643205387922,1.6346758221586042
Pennsylvania,ets,5033161.206066554,932668.2167186493,0.25020420812032657,0.25921618601469937
Pennsylvania,xgboost,5137370.211671041,1368509.4911316272,0.3739341046493439,0.38284617306315033
Pennsylvania,lstm,40629381.12354526,37645304.84313803,10.727033492209918,11.443911120620802
Rhode Island,sarima,848846.7977591334,720103.0358222611,2.8639926907544155,2.81019277896786
Rhode Island,ets,404234.0720577758,295776.4619882695,1.1665552641194221,1.1644852374896228
Rhode Island,xgboost,401302.41092218505,258943.63908507137,1.02050387857447,1.0207266147489342
Rhode Island,lstm,2521966.2541746553,2307187.891853933,9.124526250555862,9.654664319902952
South Carolina,sarima,6077955.711748733,5022414.197380192,2.712662058446802,2.670293193354799
South Carolina,ets,3474412.180246705,1663421.1379162744,0.8777454003990046,0.8870109925891094
South Carolina,xgboost,3594669.6456941874,1064684.2727929275,0.546312988924803,0.5624765126132268
South Carolina,lstm,27437005.87307515,25048137.137118794,13.550412069286773,12.529824419879402
South Dakota,sarima,411094.02044479066,342057.50966353767,1.2205380693282428,1.2104062232748876
South Dakota,ets,307994.00563115254,262431.5311828751,0.9349124506641154,0.9302444747583306
